datetime_utc,lmp,congestion,loss,energy
2023-11-15 05:00:00+00:00,23.295833333333334,0.0,1.2666666666666666,22.02916666666667
2023-11-15 06:00:00+00:00,22.947142857142858,-1.5985714285714288,1.112142857142857,23.43357142857143
2023-11-15 07:00:00+00:00,23.643333333333334,-24.02,-0.0175,47.68083333333333
2023-11-15 08:00:00+00:00,26.262857142857143,-27.877142857142854,-0.07642857142857143,54.21642857142857
2023-11-15 09:00:00+00:00,24.65857142857143,-23.645000000000003,0.05,48.25357142857143
2023-11-15 10:00:00+00:00,28.086666666666662,-19.9925,0.4975,47.58166666666666
2023-11-15 11:00:00+00:00,27.540000000000003,-1.6899999999999997,1.6525,27.577500000000004
2023-11-15 12:00:00+00:00,36.6375,-2.85125,2.310625,37.178125
2023-11-15 13:00:00+00:00,26.393333333333334,-2.3658333333333332,1.6591666666666667,27.1
2023-11-15 14:00:00+00:00,23.671666666666667,0.0,1.4108333333333334,22.260833333333334
2023-11-15 15:00:00+00:00,27.780666666666665,-0.308,1.9066666666666665,26.182
2023-11-15 16:00:00+00:00,27.040000000000003,0.0,1.9191666666666665,25.120833333333337
2023-11-15 17:00:00+00:00,26.150833333333335,0.0,1.7791666666666668,24.37166666666667
2023-11-15 18:00:00+00:00,26.365,0.0,1.7925000000000002,24.572499999999998
2023-11-15 19:00:00+00:00,27.120833333333334,0.0,1.8625,25.258333333333333
2023-11-15 20:00:00+00:00,33.005833333333335,0.0,2.3016666666666667,30.70416666666667
2023-11-15 21:00:00+00:00,35.219166666666666,0.0,2.455,32.76416666666667
2023-11-15 22:00:00+00:00,37.664375,-7.9087499999999995,2.289375,43.28375
2023-11-15 23:00:00+00:00,30.088333333333335,-0.31083333333333335,2.2275,28.17166666666667
2023-11-16 00:00:00+00:00,28.4075,-8.815833333333334,1.3975,35.82583333333333
2023-11-16 01:00:00+00:00,25.348333333333333,-0.6124999999999999,1.7275,24.233333333333334
2023-11-16 02:00:00+00:00,26.903333333333332,-2.2066666666666666,1.635,27.474999999999998
2023-11-16 03:00:00+00:00,27.76928571428571,-0.485,1.7571428571428573,26.497142857142855
2023-11-16 04:00:00+00:00,24.980833333333333,0.0,1.5425000000000002,23.438333333333333
2023-11-16 05:00:00+00:00,30.72,-3.013333333333333,1.5975000000000001,32.13583333333334
2023-11-16 06:00:00+00:00,30.700833333333335,-12.541666666666666,0.9966666666666667,42.24583333333333
2023-11-16 07:00:00+00:00,29.054166666666664,-2.5500000000000003,1.4291666666666665,30.174999999999997
2023-11-16 08:00:00+00:00,31.159999999999997,-3.4450000000000003,1.522,33.083
